INCOME,UPI_TRANSACTIONS,UPI_AVG_AMOUNT,UTILITY_BILLS_PAID,UTILITY_REGULARITY,MOBILE_RECHARGE_FREQ,RENT_PAYMENT,SAVINGS_BALANCE,LOAN_REPAYMENT_HISTORY,DIGITAL_FOOTPRINT,SOCIAL_MEDIA_ACTIVITY,EDUCATION_LEVEL,EMPLOYMENT_STABILITY,FAMILY_SIZE,AGE,GENDER,LOCATION_TYPE,DEVICE_TYPE,APP_USAGE_HOURS,BANK_ACCOUNT_AGE,NUM_FINANCIAL_PRODUCTS,INSURANCE_STATUS,REMITTANCE_FREQUENCY,GOVT_SUBSIDY_RECIPIENT,E_COMMERCE_ACTIVITY,PEER_LENDING_SCORE,ROLE,CREDIT_WORTHY
18817,87,137,4,0.79,6,5456,8263,0.34,19,14,1,0.56,3,43,M,urban,basic,1.2,4.4,1,0,2,0,8,0.29,Street Vendor,1
15683,111,138,4,0.65,5,2266,21699,0.38,19,16,1,0.38,5,33,F,semi-urban,smartphone,2.1,2.7,1,1,2,0,4,0.12,Street Vendor,1
9407,59,124,4,0.56,4,4654,18491,0.2,47,21,0,0.34,4,39,M,semi-urban,smartphone,0.6,2.5,1,0,1,0,1,0.04,Street Vendor,0
6806,10,1829,3,0.34,3,1730,23380,0.47,7,2,1,0.6,6,41,M,semi-urban,smartphone,1.5,5.6,0,0,0,1,4,0.15,Rural Farmer,0
30662,187,587,5,0.79,1,10207,76851,0.43,45,17,1,0.9,5,45,M,semi-urban,smartphone,2.8,10.8,2,1,1,1,28,0.32,Kirana Store Owner,1
10898,17,428,4,0.58,4,1329,9820,0.18,27,11,1,0.43,5,22,F,urban,smartphone,0.6,1.8,0,0,5,0,2,0.03,Migrant Worker,0
9029,11,569,4,0.37,1,56,10899,0.28,13,14,0,0.43,6,56,F,rural,basic,1.6,6.6,0,0,1,1,3,0.39,Rural Farmer,0
39978,69,244,5,0.94,3,3952,71157,0.66,40,25,1,0.64,4,37,F,semi-urban,smartphone,2.2,13.0,1,0,1,0,26,0.63,Kirana Store Owner,1
17787,8,124,5,0.64,3,4348,5164,0.18,17,4,1,0.54,4,50,F,semi-urban,basic,1.4,3.6,0,0,1,1,4,0.29,Domestic Worker,0
24165,6,1871,3,0.32,2,1690,5458,0.52,7,5,0,0.64,5,40,F,rural,basic,1.7,4.7,1,0,0,0,2,0.23,Rural Farmer,0
